jobtitle,company,location,jobsnippet,salary,companyrating,href
System Administrator,Raytheon Missiles & Defense,"Fulton, MD","A University Degree or equivalent experience and minimum 5 years prior relevant experience, or An Advanced Degree in a related field and minimum 3 years of…",N/A,3.7 ,simplyhired.com/job/0D8hA6E7U47RRX0uoPH8HqJmt0s3lI6_2ROLbu4fK13vOPBF7MtHGg
Senior Information Systems Security Engineer,"ENSCO, Inc.","Colorado Springs, CO","IAT/IAM Level II certification (CCNA Security, CYSA+, GICSP, GSEC, Security+ CE, SSCP, CAP, CASP+CE, CISM, CISSP, GSLC, CCISO), or higher-level certification.",Estimated: $117 an hour,4.1 ,simplyhired.com/job/btIyll9e0AdK6FouF4xoLJ3ltnxLo9jn90s14ym3ipY2AabNIP5x-g
Cyber Engineer,Raytheon Missiles & Defense,"Fulton, MD","Applying a combination of knowledge in enterprise IT and security solutions to integrate, develop, and implement solutions to ensure they are consistent with…",N/A,3.7 ,simplyhired.com/job/cyY-2i3t8zgxVDnEuQjwwgzq83xjFf9qH2ascDv5QR20D8lXyhYg4g
"Senior Systems Engineer - IT, Cybersecurity, Mission Applications","ENSCO, Inc.","Arlington, VA","Seven years of IT, cybersecurity, or systems administration experience with a post-baccalaureate degree in a technical field.",Estimated: $105K - $134K a year,4.1 ,simplyhired.com/job/ZsjD-XNarTK5WxsdL-OtSrkDx_PziAWXPWuP9f2FaXYQjAxQMBgxSQ
ISD Engineer III/IV (Customer Identity Access Management),Navy Federal Credit Union,"Vienna, VA","To research, evaluate, design, implement, and maintain system and product solutions, applying knowledge of engineering principles related to Client Identity…","$87,800 - $185,200 a year",3.9 ,simplyhired.com/job/vs-vPyunalrFTMqNePrUyOGHeB-7W28Ecipt1SixTqRNof2855x9bg
Principal Systems Security Engineer - Product Owner (P4),Raytheon Missiles & Defense,"Woburn, MA","Experience in the field of Engineering, including any of the following: System Requirements definition and analysis, System Test and Analysis, Systems…",N/A,3.7 ,simplyhired.com/job/rFvWmgNhqZkorlHaGyrGozhLkvAFTB3lWX0-PqJft_GFXSrUJN75iQ
Security Systems Engineer III,Mercury Systems,"Huntsville, AL","Perform total systems analyses to evaluate alternatives, assess costs and risks, and supportability while collaborating with cross functional engineering teams.",Estimated: $105K - $133K a year,3 ,simplyhired.com/job/LkCLx67h3G3s22U0B_RjsUb7kaGZRCyFFjhrXdykJAR2Dy6VeoiGIg
Senior Automation Design Engineer - National Operations Center (NOC) - Remote,Siemens,"Irving, TX","Hvac controls, building controls, building automation, programming, field technician, heating, ventilation, air conditioning, direct digital control, apogee,…",Estimated: $85.6K - $108K a year,4 ,simplyhired.com/job/3xIaWhxEZBq81N3ge92GArNkJwA4HPG9osCwS9R2EHHzIWVeMcR4Ew
"Principal Specialist, Business Systems & Transformation Technologist - Windchill– will sponsor a clearance – Hybrid, Tucson, AZ!",Raytheon Missiles & Defense,"Tucson, AZ","Typically requires a Bachelors in IT, computer science, STEM or Engineering and 5 years of relatable experience or a AS degree in IT computer science,…",N/A,3.7 ,simplyhired.com/job/kNsbMudRwZZgfytdIBLXAWIEI6wIAV7QZob-zTi0v192uo9OeZz0Vg
"Systems Security Engineer Professional - Tucson, AZ (P1)",Raytheon Missiles & Defense,"Tucson, AZ","Experience in the field of Engineering, Math or Physics including any of the following: System Requirements definition and analysis, System Test and Analysis,…",N/A,3.7 ,simplyhired.com/job/HeLEZ6chPGaKe7wJT7bHdo8gn-nNP988xRIqJmIuNQTmvoD2DVkfZA
"Mid Level Network Engineer, Tucson, AZ P2 Must have active Clearance!",Raytheon Missiles & Defense,"Tucson, AZ","Develop technical expertise in all areas of voice and data networks hardware and software interconnection and interfacing, such as routers, multiplexers,…",N/A,3.7 ,simplyhired.com/job/ixk3ecYo0EY9zkPgKMcJmJCyhpTbk5DrCXDnQHmu-Ro-vchl5EUFoQ
SDA- Sensors: Systems Security Engineer II,Raytheon Missiles & Defense,"Woburn, MA","Experience in design, development and fielding of secure systems for military applications: “relevant experience” is knowledge of a broad array of program…",N/A,3.7 ,simplyhired.com/job/0Us2jm196xpuxxw-b9F_kNOlXCMGjf_sK_3H2md5UesHjh41gniQ3g
Senior Lead Telecommunications/Wireless Engineer,Dewberry,"Parsippany, NJ","Must have a valid driver’s license, good driving record and ability to pass a driving record background check. Proficiency in Microsoft Office is required.",Estimated: $100K - $127K a year,3.6 ,simplyhired.com/job/7DoKdUiOvfYMiQUtcabqdkHKbRinKh5yP292S36U67AabDOZxEWHqg
"Technician Sr, Core Network",GCI,"Fairbanks, AK","Positions who drive company fleet vehicles: Must possess and maintain a valid driver’s license, a satisfactory driving record, proof of insurance, and a current…",Estimated: $65.6K - $83K a year,3.9 ,simplyhired.com/job/raFKpnjLDiN1trIAlh0qTl1JLe1-kR1wDrGmEN21Y5OqMGHCK-AJdw
"Senior System Administrator, P2, NP Tucson AZ - Onsite",Raytheon Missiles & Defense,"Tucson, AZ","Success in this role means you are able to develop, implement and maintain secure, cost-efficient environments across various classified programs.",N/A,3.7 ,simplyhired.com/job/w6C1xUepuovMNq6Hwgplf_koVXNQkK8Xy9auEmKR-B0K44jDWlY5gw
"Principal System Administrator, Tucson AZ, NP, P3 - Onsite",Raytheon Missiles & Defense,"Tucson, AZ","Success in this role means you are able to develop, implement and maintain secure, cost-efficient environments across various classified programs.",N/A,3.7 ,simplyhired.com/job/b2h1p8p0pa6MCGBBZC5GSezs-RKNzCmi18fkNKhx0EW-4t0Q2Lu0gg
System Administrator - Must have an active clearance - Boston area!!,Raytheon Missiles & Defense,"Marlborough, MA","Success in this role means you are able to develop, implement and maintain secure, cost-efficient environments across various classified programs.",N/A,3.7 ,simplyhired.com/job/g621R6HJCtafqxkrtLkZW6TL6FwwZfT64n-LqRyvVzMVGAX-fA6aSA
"Systems Administrator- Must have a secret clearance- Tucson, AZ!!",Raytheon Missiles & Defense,"Tucson, AZ","Success in this role means you are able to develop, implement and maintain secure, cost-efficient environments across various classified programs.",N/A,3.7 ,simplyhired.com/job/MJWUP3FXwTObAoCXJAyBQgVqjcS4SqPk-Rj7l4OP9joq_l89qtkOCA
"System Administrator, Naval Power, Tucson AZ (Onsite, Active Clearance required) P1",Raytheon Missiles & Defense,"Tucson, AZ","Success in this role means you are able to develop, implement and maintain secure, cost-efficient environments across various classified programs.",N/A,3.7 ,simplyhired.com/job/Q1H0v_5KukugZ-vTkcDp1Pc2EsFvOBe2RtoAaI4L0blTVaz1G3cKow
Systems Engineer II (CLS),Raytheon Missiles & Defense,"Woburn, MA","In this role, you will perform analysis and reporting of radar performance and maintenance support developing troubleshooting and corrective action plans for a…",N/A,3.7 ,simplyhired.com/job/rm-T1JfGPHj5E182-CeEBE-U-jL3CU-SyAWNpBXb7nBKE0Sql_zKhg
"System Administrator -Must have a TS clearance, Tucson!",Raytheon Missiles & Defense,"Tucson, AZ","Success in this role means you are able to develop, implement and maintain secure, cost-efficient environments across various classified programs.",N/A,3.7 ,simplyhired.com/job/MPQ75H1q15uL58gSuXMnWbKTX3N9rmlzQh1rgM623btiGI6hGUJTzA
Senior Fire Alarm Engineer - National Operations Center (NOC) - Remote (US),Siemens,"Irving, TX",Nicet nfpa design engineering fire alarm life safety eit ashre cissp n3 fas wbs nfpa72 autocad visio computer aided design drafting vesda.,Estimated: $95K - $120K a year,4 ,simplyhired.com/job/KtIB8MdJjkeRpM-Sr7Y3vfU2GUIpcXXtpVrD-CqE-fPPMDRJAGSK2Q
Principal Systems Security Engineer - Release Train Engineer (P4),Raytheon Missiles & Defense,"Woburn, MA","Experience in the field of Engineering, including any of the following: System Requirements definition and analysis, System Test and Analysis, Systems…",N/A,3.7 ,simplyhired.com/job/jnI64hZafGPjnhZZCeZ1_InoMsmrBBvhIXV6UMUfbFiLnpGEh6eodw
Identity & Access Management Analyst (Hybrid/Remote),University of Massachusetts Amherst,"Amherst, MA",This entry level position will collaborate with university business stakeholders to administer Identity and Access Management (IAM) capabilities that enable the…,Estimated: $55.3K - $70K a year,4.3 ,simplyhired.com/job/XxPiFyru-8VZIKJ2TmNbygCr6FhdMfNmPMfOn44wqM5VUvKqu97ycg
Senior Systems Engineer (CLS),Raytheon Missiles & Defense,"Woburn, MA","In this role, you will perform analysis and reporting of radar performance and maintenance support developing troubleshooting and corrective action plans for a…",N/A,3.7 ,simplyhired.com/job/p4_Z1TlP_R-VSx02U-9MInNnSwn7uxWajndZd2PeOxk3xp7w-TU1MA
SOFTWARE ENGINEER (FRESH GRAD 2023),NEURALINK,"Fremont, CA","You are excited to work with and learn from software, mechanical, electrical, materials, biological engineers, and neuroscientists. Equity + 401(k) plan.","Estimated: $115,000 - $139,000 a year",N/A,simplyhired.com/job/XdVLfGQHh2Vm8HTMKsMhZBGgAZFlByXLxkWwRhwFLx66pgy9c09I_A
Network Engineer - Entry Level,Aston Technologies Inc.,"Minneapolis, MN","This role begins with an on-site training paid program with curriculum designed to test and sharpen your technical abilities, develop strong professional skills…",Estimated: $20 an hour,4.1 ,simplyhired.com/job/Ejgcj0lgFJRxBnQ2HhtGCkBfODGKplVfCVcRet2dEBMjQdPEnhJMog
"Civil Engineer, EIT","Enterprise Engineering, Inc.","Anchorage, AK","Assists lead engineers in the production of engineering plans, written technical specifications, engineering calculations, and cost estimates commensurate with…","Estimated: From $63,000 a year",N/A,simplyhired.com/job/fQJvtBGigfF98lMWIMfOLTTQxR5QzIkItdOnYF2xTmgd8uMTqeiMBg
Structural Forensic Engineer EI or PE - Forensic Exp Not Needed,Engionix,"Fort Lauderdale, FL",A valid driver’s license with willingness to travel to remote locations to perform site studies. PLEASE NOTE: Active Florida EI or PE license or ability to…,"Estimated: $65,000 - $115,000 a year",N/A,simplyhired.com/job/3jsdGrRXffiSFf-qd1Lrtjy4eobyx4ADV2dqkVaB_03UNBxON5IdmA
Support Engineer (Entry-Level),OpenAsset,"New York, NY",Communicate clear and concise answers to complex technical questions. Bachelor’s Degree (Computer Science or Engineering degree preferred) or Bootcamp…,"Estimated: $50,000 - $60,000 a year",N/A,simplyhired.com/job/wjdVPn9wq8G-NFzl16YrJ1nwGuicotuELiwg_12RyXdOQLWhVmGSkQ
"Software Engineer Front End & 3D Graphics, Entry Level",Allen Institute,"Seattle, WA","Experience with contemporary front end tools, frameworks, and libraries, such as React, Redux, three.js, npm. Actively participate in collaboration with design,…","Estimated: $85,871 - $120,220 a year",3.5 ,simplyhired.com/job/SmN0RMkuxWP1xFYRqrPrJdIbH5J8_DfyDjg1TPrv300Gk8HZX0Kj4Q
Data Engineer - Entry Level,NEXT LEVEL BUSINESS CONCEPTS GROUP LLC,"Phoenix, AZ",Fast typing skills; Knowledge of touch typing system is strongly preferred. Proven experience as data entry expert. Data entry: 1 year (Preferred).,"Estimated: Up to $3,760 a month",N/A,simplyhired.com/job/clVQLRjToESrx174rEpOzrg2QPCDHUihqyFrZAf7K5Y1lbNT86qKwg
Support Engineer (Entry-Level),Axomic,"New York, NY",Communicate clear and concise answers to complex technical questions. Bachelor’s Degree (Computer Science or Engineering degree preferred) or Bootcamp…,"Estimated: $50,000 - $60,000 a year",N/A,simplyhired.com/job/rWNgUFBxmSOuPhQ1ZCh1dKcHuUBb_QzJwQTn1fikB710I8SNGwfYow
Azure DevOps Engineer (Entry-Level) - 100% Remote,National General Insurance,"Alice, TX","Facilitate build and deployment to Development, Testing, UAT, Staging environments; provide post deployment support to technical teams.",Estimated: $72.4K - $91.7K a year,2.9 ,simplyhired.com/job/nTtQcIYkAbCT8F3Rd10eJtprseAk-ZBsVMMf0JvhR6HLXMdoZdKuZQ
Mechanical Design Engineer (Entry Level),BAE Systems,"Minneapolis, MN","Analyzes and interprets design specifications, drawings, documentation, models, and/or test results to ensure technical designs comply with applicable…",N/A,3.8 ,simplyhired.com/job/g6CpLbEnkzql1tNQBaeejYiZH609Gkvk1-fZh76YoqVeMr9s2Rd3eA
Mechanical Engineer,Ironwood Electronics,"Eagan, MN",Good communications skills are a must as the position will include customer service (technical calls) on product lines and will be necessary for obtaining…,Estimated: $66K - $83.6K a year,N/A,simplyhired.com/job/6L0S6cORVGk3Ci_1HmRMAgBBSrtTvfZFmp6OxcLGT-gXrq8i2AMZ0A
Process Engineering Technician - Electrical,Tiara Yachts,"Holland, MI","Assist with the design and documentation of the DC electrical system to include wiring diagrams panel design, harness layout, and installation for all standard…",Estimated: $49.9K - $63.2K a year,3.4 ,simplyhired.com/job/50yynFM8LnmZcSCB3TQb1ddN63Y1NDwgN0-cmfPAosyM9_jYVjW5lg
Junior Software Engineer,Argano,Remote,"Mountain State Software Solutions offers a comprehensive, three-phase training program designed to develop and engage incoming entry level professionals.",Estimated: $81.3K - $103K a year,N/A,simplyhired.com/job/UIXfSklaxeXRHAD87HQeVyBMKu4YAYRJOqdKC6SM7xqmGayvZvfp-g
Software Quality Assurance Engineer - Entry Level,EAI Technologies,"Vienna, VA","Paid Training (CodeAcademy, Coursera, NoFluffJustStuff, Google DevFest, pre-paid courses, mentoring). Work in a fast-paced, hands-on capacity in a client-facing…","Estimated: $60,000 - $65,000 a year",N/A,simplyhired.com/job/DB-fmHe1fWmt3n9kGlR0LAom1oLpyqI-hVC3AG2jA7Rcf1hTmt_r0Q
Associate Software Engineer Entry Level,CareerNet,"Atlanta, GA","Typical candidate will have 0-2 years of experience in software engineering, system administration, programming, and/or a related field.","Estimated: $75,000 - $150,000 a year",3.8 ,simplyhired.com/job/69t1wdl3A5XzvvOLvlxg-0-itJpc7UzgYbeabklVAosssv9NsUOQ7g
Entry Level Cloud Engineer,Caterpillar,"Nashville, TN",Able to manage own duties including setting priorities. Provide technical support and problem identification and resolution with minimal off-shift support.,Estimated: $70.6K - $89.4K a year,3.8 ,simplyhired.com/job/9y6Vh1vBLjotw3Z0WHSYqSWtzR2VZsb2D3Hk-L2rDoo_QDgbEyDUNg
Desktop Engineer,Teleperformance USA,"Salt Lake City, UT","Assisting with the installation and maintenance of voice systems to support call-flow; usually limited to cabling, phones, headsets and software.",Estimated: $39.5K - $50K a year,3.5 ,simplyhired.com/job/oK4qg2QtSZc3SrxgDFZRMdNwKiiJsxW5aXclxtYiXaHQYr6pSFptEw
Junior Electrical ENGINEER-Needed ASAP,Larson Electronics LLC,"Kemp, TX",Provides engineering information by answering questions and requests. Develops manufacturing processes by designing and modifying equipment for building and…,"Estimated: $43,000 - $50,000 a year",3.4 ,simplyhired.com/job/yv4qC0ncgHWTYwFLYjxVfoGH3pmbqomtCxQbweOzYW28TfnFqrQI1Q
Engineer SolidWorks Drafter/Designer - Entry Level,"Piedmont Energy Systems, Inc.","York, SC",Ability to learn how various mechanical and electrical components interact with the designed products. Ability to read and design from a P&ID.,Estimated: From $20 an hour,1 ,simplyhired.com/job/rq7rjjhSpmgGpyqeDaHoKPTWFe4WAlY9riCAbQB0u-AJFOjWPXnW6g
Wafer Fab Equipment Engineer,Analog Devices,"Beaverton, OR",This position may require a deemed export control license for compliance with applicable laws and regulations; including but not limited to US Government…,"Estimated: From $80,000 a year",3.9 ,simplyhired.com/job/hti7fw1IwMD8g6Ey9cQozRQOlOkH2WogXYxXNLFVPrV9RbOwDdBYCQ
Civil Highway Field Engineer,SME,"Macomb, MI","After completion of needed technical training, provided by SME, monitor the contractor’s work on road and bridge construction projects for compliance with the…",Estimated: $54.7K - $69.3K a year,3.7 ,simplyhired.com/job/JdVYhdMWpfNeb8-G4mGnGZqm9hSbSOO9dX3DPMcwFgxAQTTSNx0tlw
SOFTWARE ENGINEER (FRESH GRAD 2023),NEURALINK,"Fremont, CA","You are excited to work with and learn from software, mechanical, electrical, materials, biological engineers, and neuroscientists. Equity + 401(k) plan.","Estimated: $115,000 - $139,000 a year",N/A,simplyhired.com/job/XdVLfGQHh2Vm8HTMKsMhZBGgAZFlByXLxkWwRhwFLx66pgy9c09I_A
Network Engineer - Entry Level,Aston Technologies Inc.,"Minneapolis, MN","This role begins with an on-site training paid program with curriculum designed to test and sharpen your technical abilities, develop strong professional skills…",Estimated: $20 an hour,4.1 ,simplyhired.com/job/Ejgcj0lgFJRxBnQ2HhtGCkBfODGKplVfCVcRet2dEBMjQdPEnhJMog
"Civil Engineer, EIT","Enterprise Engineering, Inc.","Anchorage, AK","Assists lead engineers in the production of engineering plans, written technical specifications, engineering calculations, and cost estimates commensurate with…","Estimated: From $63,000 a year",N/A,simplyhired.com/job/fQJvtBGigfF98lMWIMfOLTTQxR5QzIkItdOnYF2xTmgd8uMTqeiMBg
Structural Forensic Engineer EI or PE - Forensic Exp Not Needed,Engionix,"Fort Lauderdale, FL",A valid driver’s license with willingness to travel to remote locations to perform site studies. PLEASE NOTE: Active Florida EI or PE license or ability to…,"Estimated: $65,000 - $115,000 a year",N/A,simplyhired.com/job/3jsdGrRXffiSFf-qd1Lrtjy4eobyx4ADV2dqkVaB_03UNBxON5IdmA
